"Salmo.trutta" "Phoxinus.phoxinus" "Parachondrostoma.miegii" "Luciobarbus.graellsii" "Salaria.fluviatilis" "Cobitis.calderoni" "Barbus.haasi" "Gobio.lozanoi" "Phoxinus.bigerri" "Achondrostoma.arcasii" "Squalius.laietanus" "Anguilla.anguilla" "Cobitis.paludica"
"CHE-367036" 1 1 1 1 0 0 0 1 0 0 0 0 0
"CHE-359673" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-273141" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-291143" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-363675" 0 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-104820" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-277970" 0 0 0 0 0 0 0 1 0 0 1 0 0
"CHE-307733" 1 1 0 1 0 0 0 0 0 0 0 0 0
"CHE-105278" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-295396" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-371726" 1 1 1 1 1 1 0 0 1 0 0 0 0
"CHE-189562" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-301270" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-320742" 1 1 0 0 0 0 0 0 0 0 0 1 0
"CHE-363560" 0 0 1 1 0 0 0 0 1 0 0 0 0
"CHE-366692" 1 1 1 1 1 0 0 1 0 0 0 0 0
"CHE-294403" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-272732" 0 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-293099" 0 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-104689" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-290863" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-383878" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-294191" 1 1 1 1 0 1 0 0 0 0 0 0 0
"CHE-295278" 1 1 1 1 0 1 1 0 0 0 0 0 0
"CHE-307411" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-359241" 1 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-290410" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-359520" 0 0 1 1 0 0 0 0 0 1 0 0 0
"CHE-320605" 1 1 0 0 0 0 0 0 0 0 0 1 0
"CHE-381774" 1 0 1 1 0 0 0 1 1 0 0 0 0
"CHE-300717" 1 1 1 1 0 0 1 1 1 0 0 0 0
"CHE-306944" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-320450" 1 1 1 1 0 0 0 0 0 0 0 1 0
"CHE-366681" 0 0 0 1 1 0 0 0 0 0 0 0 0
"CHE-271663" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-101543" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-104514" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-292968" 0 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-294002" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-290712" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-64333" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-304038" 1 1 0 1 0 0 1 0 0 0 0 0 0
"CHE-51306" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-324049" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-376350" 1 1 1 1 0 0 0 0 1 0 0 0 0
"CHE-290471" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-320080" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-101416" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-307156" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-322293" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-103657" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-100450" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-363462" 1 1 1 1 1 1 0 0 0 0 0 0 0
"CHE-363457" 1 0 1 0 1 0 0 0 1 0 0 0 0
"CHE-272553" 0 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-357709" 1 1 1 1 0 0 0 1 0 0 0 0 0
"CHE-306746" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-323725" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-358578" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-385231" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-323882" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-322236" 1 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-272511" 0 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-59276" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-321417" 1 1 1 1 0 0 0 1 1 0 0 0 0
"CHE-187540" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-322431" 1 1 1 1 0 0 1 0 0 0 0 1 0
"CHE-320343" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-82052" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-303884" 1 0 0 0 0 0 1 0 1 0 0 0 0
"CHE-365140" 1 1 1 1 0 0 1 0 1 0 0 0 0
"CHE-272374" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-289901" 1 1 1 1 0 1 1 0 0 0 0 0 0
"CHE-322667" 1 1 1 1 0 0 0 1 0 0 0 0 0
"CHE-272207" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-322918" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-311405" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-299602" 1 1 1 1 0 1 0 1 1 0 0 0 0
"CHE-101157" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-303716" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-320275" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-79337" 1 0 0 0 0 0 0 0 0 0 0 0 0
