"slope" "geology" "order" "elev" "t_Jan" "t_Jul" "width" "AGR" "FR" "UR"
"8244" 29.8 "kalk" 4 820 -4.5 15.1 2.51769647261099 0.175548589341693 0.711598746081505 0.112852664576803
"8451" 16 "silikat" 2 634 -3.902 15.085 1.09861228866811 0.588785046728972 0.411214953271028 0
"8390" 3 "kalk" 3 223 -3.54 16.72 2.4423470353692 0.744548286604361 0.0903426791277259 0.165109034267913
"8092" 1.5 "silikat" 2 631 -3.866 16.492 2.7408400239252 0.261682242990654 0.613707165109034 0.124610591900312
"8690" 26 "kalk" 3 573 -3.088 15.242 2.19722457733622 0 1 0
"7911" 57.1 "silikat" 3 1065 -3.86 13.735 2.22462355152433 0.2125 0.7875 0
"8453" 13 "kalk" 2 234 -1.842 18.649 1.38629436111989 0.770897832817337 0.0681114551083591 0.160990712074303
"7953" 4 "kalk" 5 469 -3.2 16.7 3.44998754583159 0.586206896551724 0.100313479623824 0.313479623824451
"8686" 46 "silikat" 2 289 -2.161 18.071 1.6094379124341 0.303125 0.425 0.271875
"8689" 10.4 "kalk" 3 387 -2.217 17.149 2.77258872223978 0.421875 0.171875 0.40625
"8563" 6 "silikat" 3 398 -2.484 17.467 0.916290731874155 0.821316614420063 0 0.178683385579937
"8457" 12 "kalk" 2 525 -2.649 15.728 1.94591014905531 0.188854489164087 0.811145510835913 0
"8382" 6 "kalk" 2 792 -3.378 15.945 1.94591014905531 0.358255451713396 0.498442367601246 0.143302180685358
"8383" 8 "kalk" 2 798 -3.317 14.648 1.94591014905531 0.385579937304075 0.479623824451411 0.134796238244514
"8083" 16 "kalk" 3 522 -3.202 15.246 2.39789527279837 0.153125 0.846875 0
"8543" 20 "silikat" 2 499 -3.123 17.032 1.38629436111989 0.599378881987578 0.400621118012422 0
"8702" 66 "kalk" 2 370 -2.707 17.547 1.6094379124341 0.749216300940439 0.250783699059561 0
"7924" 3 "kalk" 3 154 -1.183 19.891 2.56494935746154 0.424528301886792 0.138364779874214 0.437106918238994
"7663" 4 "kalk" 2 380 -2.5 17.5 1.94591014905531 1 0 0
"8471" 2 "kalk" 3 181 -1.338 19.106 1.38629436111989 0.737654320987654 0.0246913580246914 0.237654320987654
"8695" 17 "kalk" 3 403 -2.046 17.709 2.07944154167984 0.454545454545455 0.401253918495298 0.144200626959248
"8693" 2 "kalk" 2 359 -2.633 17.537 1.6094379124341 1 0 0
"8508" 7 "kalk" 3 367 -1.877 17.598 2.70805020110221 0.427672955974843 0.367924528301887 0.20440251572327
"8507" 7 "kalk" 3 378 -2.083 17.266 2.77258872223978 0.538940809968847 0.414330218068536 0.0467289719626168
"7907" 19.3 "kalk" 4 625 -3.353 16.027 2.60268968544438 0.475155279503106 0.503105590062112 0.0217391304347826
"8540" 2 "kalk" 2 526 -3.181 17 1.38629436111989 0.827044025157233 0.172955974842767 0
"8656" 11 "kalk" 2 367 -2.598 17.707 1.6094379124341 0.8 0.2 0
"8099" 50 "silikat" 2 1048 -4.246 13.816 2.07944154167984 0.153605015673981 0.846394984326019 0
"8254" 21.99 "silikat" 2 568 -3.27 16.434 2.07944154167984 0.537735849056604 0.462264150943396 0
"7776" 5 "kalk" 5 454 -1.9 16.9 3.16968558067743 0.284375 0.346875 0.36875
"7936" 6.2 "kalk" 5 433 -1.9 16.9 3.43398720448515 0.109717868338558 0.344827586206897 0.545454545454545
"7965" 143 "silikat" 3 740 -3.102 15.979 1.80828877117927 0.270440251572327 0.669811320754717 0.059748427672956
"7858" 1.1 "kalk" 4 195 -1.438 19.043 2.70805020110221 0.794392523364486 0.109034267912773 0.0965732087227414
"8565" 32 "silikat" 2 573 -2.9 16.303 0.405465108108164 0.591194968553459 0.408805031446541 0
"8700" 23 "kalk" 3 519 -2.975 15.862 1.94591014905531 0.2375 0.7625 0
"8222" 2 "silikat" 2 434 -2 17.5 1.09861228866811 0.283489096573209 0.38006230529595 0.336448598130841
"8684" 71 "silikat" 2 733 -3.955 15.268 1.6094379124341 0.0560747663551402 0.94392523364486 0
"8317" 46 "kalk" 3 853 -3.794 14.093 1.79175946922805 0.137931034482759 0.827586206896552 0.0344827586206897
"8056" 67 "kalk" 3 915 -3.782 14.256 1.70474809223843 0.232919254658385 0.767080745341615 0
"8057" 19 "kalk" 3 845 -3.82 14.383 2.19722457733622 0.225 0.775 0
"8564" 11 "kalk" 2 520 -2.365 17.07 1.09861228866811 0.811912225705329 0 0.188087774294671
"8391" 3 "kalk" 2 235 -3.53 16.56 2.14006616349627 0.5625 0 0.4375
"8435" 5 "kalk" 3 268 -1.891 18.218 2.30258509299405 0.987616099071207 0.0123839009287926 0
"8436" 5 "kalk" 3 240 -1.891 18.218 1.79175946922805 0.630094043887147 0 0.369905956112853
"8255" 7.99 "silikat" 2 491 -2.9 17.01 1.6094379124341 0.641744548286604 0.205607476635514 0.152647975077882
"8655" 10.5 "kalk" 2 370 -2.129 16.308 2.19722457733622 0.213836477987421 0.767295597484277 0.0188679245283019
"8224" 2 "silikat" 6 420 -1.9 17.7 1.38629436111989 0.575949367088608 0.332278481012658 0.0917721518987342
"8574" 2 "kalk" 2 392 -2.264 17.62 1.79175946922805 1 0 0
"8387" 14 "kalk" 2 402 -1.35 19.87 1.94591014905531 0.422360248447205 0.447204968944099 0.130434782608696
"8691" 7 "silikat" 2 460 -3.052 16.97 1.6094379124341 0.617554858934169 0.382445141065831 0
"8388" 16 "kalk" 3 383 -2.324 17.282 1.50407739677627 0.236024844720497 0.624223602484472 0.139751552795031
"8245" 29.8 "kalk" 4 802 -4.5 15.1 2.26176309847379 0.166666666666667 0.720125786163522 0.113207547169811
"8431" 19 "silikat" 2 558 -3.347 16.794 1.79175946922805 0.425465838509317 0.574534161490683 0
"8572" 5 "kalk" 2 489 -2.154 17.436 1.79175946922805 0.70625 0.29375 0
"8389" 3 "kalk" 3 215 -3.146 16.29 2.63905732961526 0.893081761006289 0.00314465408805031 0.10377358490566
"8394" 2 "kalk" 3 203 -1.423 19.045 2.14006616349627 0.849529780564263 0.00626959247648903 0.144200626959248
"7910" 57.1 "silikat" 3 1075 -3.854 13.6 2.43361335540045 0.174454828660436 0.825545171339564 0
"7783" 1 "kalk" 4 179 -0.5 19.4 1.94591014905531 0.573208722741433 0 0.426791277258567
"7871" 4 "kalk" 3 186 -1.06 19.04 1.87180217690159 0.739130434782609 0 0.260869565217391
"8397" 11 "kalk" 2 267 -2.257 18.009 1.70474809223843 0.0846394984326019 0.752351097178683 0.163009404388715
"7661" 3 "kalk" 2 266 -2.2 18.1 1.79175946922805 0.875389408099688 0.00311526479750779 0.121495327102804
"8542" 22 "silikat" 2 555 -3.34 16.675 0.916290731874155 0.4875 0.5125 0
"8533" 4 "silikat" 2 433 -2.939 16.928 1.6094379124341 0.683229813664596 0.316770186335404 0
"8510" 7 "kalk" 3 395 -2.222 17.178 2.77258872223978 0.590062111801242 0.27639751552795 0.133540372670807
"7872" 5 "kalk" 2 193 -1.19 18.8 1.70474809223843 0.739130434782609 0.201863354037267 0.0590062111801242
"7985" 4 "kalk" 3 268 -1.94 18.5 1.6094379124341 0.792569659442725 0.086687306501548 0.120743034055728
"8701" 3 "kalk" 3 403 -2.294 17.374 2.30258509299405 0.307453416149068 0.692546583850932 0
"7877" 3 "kalk" 8 175 -1.18 18.99 2.01490302054226 0.225 0.378125 0.396875
"8449" 2 "kalk" 4 166 0.97 20 1.94591014905531 0.76875 0.034375 0.196875
"8575" 6 "kalk" 2 372 -2.518 17.489 1.79175946922805 1 0 0
"7908" 53.3 "silikat" 3 1065 -3.791 13.557 2.11625551480255 0.184952978056426 0.815047021943574 0
"7909" 48.2 "silikat" 3 1042 -3.823 13.818 2.32238772029023 0.211180124223602 0.788819875776398 0
"7803" 8 "kalk" 2 475 -2.244 17.661 1.94591014905531 0.975077881619938 0.0249221183800623 0
"7884" 7 "kalk" 2 233 -1.703 18.787 1.25276296849537 0.924764890282132 0 0.0752351097178683
"8381" 32 "kalk" 2 416 -1.67 19.176 1.79175946922805 0.00626959247648903 0.899686520376176 0.0940438871473354
"7881" 9 "kalk" 3 195 -1.56 18.94 1.16315080980568 0.667701863354037 0 0.332298136645963
"8696" 18 "silikat" 3 273 -2.059 18.066 2.07944154167984 0.377708978328173 0.606811145510836 0.0154798761609907
"8220" 61 "kalk" 2 1007 -4.3 14.4 1.48160454092422 0.0186915887850467 0.981308411214953 0
"8685" 38 "silikat" 2 822 -3.731 14.194 1.79175946922805 0 0.77115987460815 0.22884012539185
"8464" 19 "silikat" 2 777 -3.937 14.673 1.38629436111989 0.440251572327044 0.559748427672956 0
"8465" 7 "silikat" 2 757 -3.971 14.786 0.916290731874155 0.38871473354232 0.401253918495298 0.210031347962382
"7859" 2.1 "kalk" 3 180 -1.36 19.04 1.79175946922805 0.745341614906832 0 0.254658385093168
"7926" 0.7 "kalk" 4 150 -1.109 19.687 3.25809653802148 0.264150943396226 0.481132075471698 0.254716981132075
