"Barbatula.quignardi" "Alburnus.alburnus" "Cyprinus.carpio" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Oncorhynchus.mykiss" "Silurus.glanis" "Carassius.auratus" "Lepomis.gibbosus" "Micropterus.salmoides" "Gambusia.holbrooki" "Barbatula.barbatula" "Gobio.gobio" "Esox.lucius" "Tinca.tinca" "Ameiurus.melas"
"CHE-307411" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-359241" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-290410" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-359520" 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0
"CHE-320605" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-381774" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-300717" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-306944" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-320450" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-366681" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"CHE-271663" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-101543" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-104514" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-292968" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-294002" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-290712" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-64333" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-304038" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-51306" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-324049" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-376350" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-290471" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-320080" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-101416" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-307156" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-322293" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-103657" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-100450" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-363462" 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0
"CHE-363457" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"CHE-272553" 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1
"CHE-357709" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-306746" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-323725" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-358578" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-385231" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-323882" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-322236" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-272511" 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1
"CHE-59276" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-321417" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-187540" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-322431" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-320343" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-82052" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-303884" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-365140" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-272374" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289901" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-322667" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-272207" 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1
"CHE-322918" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-311405" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-299602" 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0
"CHE-101157" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-303716" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-320275" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-79337" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270982" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289745" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-81950" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-321642" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-357593" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-63177" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-321871" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-357114" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-319953" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-311063" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-306372" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-379510" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-284193" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-272047" 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1
"CHE-323142" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-357443" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-99821" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270969" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1
"CHE-298589" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-64559" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289661" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-326786" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-365753" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-186129" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-102552" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284421" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-326574" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-80406" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-102214" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284102" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-326499" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-61994" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-319839" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-270894" 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0
"CHE-78772" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-309687" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-349046" 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0
"CHE-122178" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-44925" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289616" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-349343" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-380034" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-326755" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-287441" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-94678" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-349041" 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0
"CHE-352128" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-349347" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-352198" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-326452" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-283715" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-123449" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-60865" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-80945" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-286836" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-186037" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-94509" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-286250" 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-123910" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-326682" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-98689" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-93824" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-283654" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-78266" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-124142" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-286131" 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-185010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-319815" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-270714" 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"CHE-119401" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-119305" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289184" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-339154" 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-123944" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-123834" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-352916" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-319597" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
