"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S0501_0711" 0 0 0 0 0 0 15 0 0 3 0 0 0 0 0 0 132 0 0 0 0 6 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0
"PL02S0501_0853" 0 2 3 0 14 0 0 0 0 0 0 4 3 0 2 0 0 0 0 0 1 4 1 0 0 0 16 0 0 8 0 64 0 0 0 0 0 0 0
"PL02S0501_0867" 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 5 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S0501_0873" 0 0 4 0 0 0 0 0 0 38 0 0 0 0 0 0 12 2 0 0 21 0 0 0 0 0 2 0 0 1 0 41 0 0 1 13 0 0 1
"PL02S0501_0889" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 3 0 0 0 0 0 0 0
"PL02S0501_0899" 1 7 2 0 123 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 2 1 0 0 0 12 0 0 146 0 32 0 0 0 5 1 0 1
"PL02S0501_0900" 0 7 2 0 384 0 0 0 0 0 0 8 0 0 3 0 20 0 0 0 0 3 13 0 0 0 0 0 0 560 0 46 0 0 0 0 2 0 1
"PL02S0501_0901" 0 6 1 0 166 6 0 0 0 0 0 26 0 0 6 0 21 0 0 0 0 7 1 0 0 0 3 0 0 105 0 50 0 0 0 0 1 0 0
"PL02S0501_0904" 0 22 5 0 64 0 0 1 0 0 0 0 93 0 0 0 0 0 0 0 0 8 2 3 0 0 5 0 0 163 0 101 0 0 0 0 0 0 0
"PL02S0501_1665" 0 0 2 0 8 0 0 0 0 4 0 2 0 0 4 0 16 0 0 0 0 6 0 0 0 0 5 0 0 6 0 6 0 0 0 0 0 0 0
"PL02S0501_1737" 0 0 0 0 0 0 16 0 0 0 0 0 7 0 0 0 45 0 0 0 0 5 0 4 0 0 2 9 0 0 0 2 7 0 0 0 0 0 2
"PL02S0501_3262" 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 223 0 0 0 4 0 0 0
"PL02S0501_3264" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 12 1 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0
"PL02S0501_3281" 0 8 1 0 98 2 0 0 0 0 0 0 0 0 2 0 40 0 0 0 0 10 0 1 0 0 4 0 0 81 0 22 0 0 0 0 0 0 3
"PL02S0501_3282" 0 7 8 0 65 3 0 3 0 1 0 0 0 0 7 0 81 0 0 0 0 13 1 3 0 0 5 0 0 15 0 38 0 0 0 0 1 0 0
"PL02S0501_3283" 0 18 9 0 111 0 0 0 0 7 0 4 0 0 3 0 10 0 0 0 0 26 6 0 2 0 34 0 0 42 0 107 0 0 0 6 3 0 0
"PL02S0501_3284" 0 2 3 0 187 0 0 0 0 0 0 0 0 0 3 0 21 0 0 0 0 9 1 0 0 0 24 0 0 26 0 69 0 0 0 1 2 0 0
"PL02S0501_3397" 0 10 0 0 105 4 0 0 0 0 0 5 0 0 3 0 94 0 0 0 3 21 2 13 1 0 47 0 0 14 0 70 0 0 0 2 4 0 1
"PL02S0501_3411" 10 1 0 0 304 0 0 0 0 3 0 3 0 0 3 0 17 0 0 0 0 2 0 0 0 0 5 0 0 426 0 28 0 0 0 1 0 0 3
"PL02S0501_3425" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S0501_3488" 0 2 3 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 4 0 0 0 0 0 10 0 0 1 0 42 0 0 0 3 0 0 3
"PL02S0501_3839" 0 27 18 0 32 0 0 0 0 0 0 7 0 0 6 0 42 0 0 0 0 28 3 13 0 0 14 0 0 46 0 80 0 0 0 0 0 0 3
"PL02S0601_0923" 0 0 0 0 0 0 0 0 0 4 0 19 0 0 4 0 1 0 0 0 1 0 0 0 0 2 20 0 0 1 0 1 0 0 0 0 0 0 8
"PL02S0601_0931" 0 2 1 0 9 0 0 0 0 29 0 0 0 0 0 0 3 2 0 0 0 0 0 0 1 1 405 0 0 0 0 628 0 0 0 33 0 0 0
