"CCall" "CCin" "CCout" "BCdir" "BCund"
"CHE-273832" 0.013967108175287 0.000247821143457 0.000249372480476 8.76295892076673 12.5222692858802
"CHE-276738" 0.011585312467344 0.000244797048208 0.000250285644135 7.58222919427646 11.2054487651903
"CHE-368420" 0.010436809216552 0.00024384296513 0.000251446984837 5.54907608489522 9.012133305952
"CHE-304624" 0.010962872689565 0.000244080976809 0.000250712899869 6.54678541076052 10.1099324542273
"CHE-362961" 0.010601181584647 0.000244319278959 0.000251324492944 7.13966033596492 10.6196185694864
"CHE-369346" 0.010413255449697 0.000243724104314 0.000251508252438 0 0
"CHE-301800" 0.01130834396994 0.000244558192688 0.000250529703588 7.36707705988101 10.9556718848238
"CHE-275544" 0.012139075571812 0.000243724104314 0.000250041815867 0 0
"CHE-280349" 0.01340798922654 0.000244677518371 0.000249554853033 7.34794382314869 11.0881552058041
"CHE-276910" 0.01145368545086 0.000244677489182 0.000250346637327 7.47363710849621 11.0881552058041
"CHE-360062" 0.011182565883633 0.000243724104314 0.000251018515889 0 0
"CHE-301574" 0.01143676045814 0.000244677664317 0.000250468667054 7.49164547360513 11.0881552058041
"CHE-308158" 0.009916308483738 0.000244080947762 0.000251324492944 6.62936325343745 10.1097697467749
"CHE-367165" 0.011009390994415 0.000244319278959 0.000251140863392 7.11558212618445 10.6196185694864
"CHE-363812" 0.011438961067934 0.000244200069748 0.000250896226153 6.8596149036542 10.396963537967
"CHE-294693" 0.012042215274414 0.000244080947762 0.000250163701101 6.46614472423762 10.1097697467749
"CHE-277989" 0.013958363107999 0.000243961912918 0.000249372480476 5.93224518744801 9.70479268162423
"CHE-300540" 0.012120925587209 0.000243724104314 0.000250163701101 0 0
"CHE-363228" 0.010275422402024 0.000243961912918 0.000251508252438 6.24804287450843 9.70479268162423
"CHE-361212" 0.010599976226284 0.000244319278959 0.000251324492944 7.13966033596492 10.6196185694864
"CHE-360678" 0.010712280472677 0.000243724104314 0.000251263268655 0 0
"CHE-273389" 0.014158253516265 0.000248435558529 0.000249311718538 8.88944616531829 12.6587202770392
"CHE-360474" 0.011064536837733 0.000246363111118 0.00025107968242 8.58839695042257 12.0928815507572
"CHE-359946" 0.011305757061275 0.000243724104314 0.0002509573638 0 0
"CHE-291540" 0.012475365562882 0.000244319337167 0.000249980894927 6.94793706861497 10.6196185694864
"CHE-281438" 0.013588180734067 0.000244438750276 0.000249494047724 7.05012252026906 10.8019401262804
"CHE-189928" 0.009441149325287 0.000243961912918 0.000250529703588 6.11589212548303 9.70479268162423
"CHE-301338" 0.011839306381738 0.000245036604956 0.000250285644135 7.78280726283969 11.4051397887641
"CHE-370341" 0.010342445375651 0.000244438575482 0.000251569534476 7.35308192051543 10.8014513677174
"CHE-294542" 0.012188526976996 0.000244200069748 0.000250102751258 6.74405918631135 10.396963537967
"CHE-280152" 0.013406586941814 0.000243724104314 0.000249554853033 0 0
"CHE-382167" 0.009691053376394 0.000249047433033 0.000251998912878 9.39740068311731 12.7751294408591
"CHE-280141" 0.013588720897876 0.000244797077426 0.000249494047724 7.45529848568329 11.2054487651903
"CHE-307947" 0.010116205658367 0.000244319278959 0.000251202058804 7.12367278520461 10.6196185694864
"CHE-304400" 0.011207711517549 0.000244319308063 0.00025059075457 7.03966034986208 10.6196185694864
"CHE-312504" 0.009455469165996 0.000243724104314 0.000251630830948 0 0
"CHE-367128" 0.011131312583105 0.000245157072052 0.00025107968242 7.98241634682773 11.4928860096325
"CHE-280057" 0.013774206438485 0.000245638215031 0.000249433256872 8.01994168767737 11.7790365474939
"CHE-105002" 0.008431879988571 0.000244438604614 0.000249919988439 7.12044437239249 10.8014513677174
"CHE-293208" 0.013128920752785 0.000244080947762 0.000249737355692 6.39859493453521 10.1097697467749
"CHE-367036" 0.011255100052955 0.000245276983009 0.000251018515889 8.05420489706441 11.5712132408407
"CHE-359673" 0.011563724522877 0.000247090541998 0.000250835102948 8.79618763547045 12.331082835611
"CHE-273141" 0.014353698649311 0.000248557885569 0.000249250971058 8.90395107205871 12.6818098066237
"CHE-291143" 0.012632149467091 0.000244558163527 0.000249919988439 7.27447955877387 10.9554623583529
"CHE-363675" 0.011705518601273 0.000244438575482 0.000250773994187 7.24779258176785 10.8014513677174
"CHE-104820" 0.008649118220078 0.000244797018991 0.000249737355692 7.49609734517596 11.2054487651903
"CHE-277970" 0.014155517442482 0.000247581134728 0.000249311718538 8.69165057315339 12.4635325957924
"CHE-307733" 0.010323912113357 0.000244557959402 0.00025107968242 7.44366368311559 10.9551130499799
"CHE-105278" 0.008091687379177 0.000243724104314 0.000250224665393 0 0
"CHE-295396" 0.012650381330973 0.000245878301629 0.000249919988439 8.21851757748959 11.894999113621
"CHE-371726" 0.010157488114105 0.000248067468546 0.000251692141855 9.15957325492253 12.5784358821332
"CHE-189562" 0.009621993127148 0.00024384296513 0.000250407644966 5.40717177146012 9.012133305952
"CHE-301270" 0.01197958039344 0.000245156427372 0.000250224665393 7.86057078553866 11.4916609696655
"CHE-320742" 0.0141887638273 0.000244080947762 0.000249372480476 6.33682573114644 10.1097697467749
"CHE-363560" 0.011843305731675 0.000244557959402 0.000250712899869 7.39326309476384 10.9551130499799
"CHE-366692" 0.011381545359703 0.000245517451072 0.0002509573638 8.18896686364888 11.713757965523
"CHE-294403" 0.012187947540126 0.000243724104314 0.000250102751258 0 0
"CHE-272732" 0.01455440872271 0.00025282283911 0.000249190238036 9.50814602759882 13.2889281115858
"CHE-293099" 0.013303021556603 0.000244200069748 0.000249676507017 6.67582322163485 10.396963537967
"CHE-104689" 0.008877154636052 0.000245156222247 0.000249554853033 7.75319426988434 11.4916609696655
"CHE-290863" 0.0127926051133 0.000244677635128 0.000249859096403 7.39817409297047 11.0881552058041
