"Anguilla_a" "Carassius" "Gasteroste" "Lepomis_gi" "Babka_gymn" "Ponticola" "Neogobius" "Oncorhyn_1" "Pseudorasb" "Salvelinus"
"7885" 0 0 1 0 0 0 0 0 0 0
"7766" 0 0 0 0 0 0 0 0 0 0
"8584" 0 0 0 0 0 0 0 0 1 0
"8340" 0 0 1 0 0 0 0 1 0 0
"7806" 0 0 0 0 0 0 0 0 0 0
"8717" 0 0 0 0 0 0 0 0 0 0
"8722" 0 0 0 0 0 0 0 0 0 0
"8506" 0 0 0 0 0 0 0 0 0 0
"8709" 0 0 0 0 0 0 0 0 0 0
"7987" 0 0 0 0 0 0 0 0 0 0
"7764" 0 0 0 0 0 0 0 0 0 0
"8150" 0 0 0 0 0 0 0 0 0 0
"8228" 0 0 0 0 0 0 0 1 0 0
"8229" 0 0 0 0 0 0 0 0 0 0
"8523" 0 0 0 0 0 0 0 1 0 1
"7970" 0 0 0 0 0 0 0 0 0 0
"7969" 0 0 0 0 0 0 0 0 0 0
"8721" 0 0 0 0 0 0 0 1 0 0
"7805" 0 0 0 0 0 0 0 1 0 0
"7784" 0 0 0 0 0 0 0 0 0 0
"8707" 0 0 0 0 0 0 0 0 0 0
"8585" 0 0 0 0 0 0 0 0 1 0
"7971" 0 0 0 0 0 0 0 1 0 0
"8149" 0 0 0 0 0 0 0 0 0 0
"8714" 0 0 0 0 0 0 0 0 0 0
"7989" 0 0 0 0 0 0 0 0 0 0
"7991" 0 0 0 0 0 0 0 0 0 0
"8713" 0 0 0 0 0 0 0 0 0 0
"8079" 0 0 0 0 0 0 0 0 0 1
"8571" 0 0 0 0 0 0 0 0 1 0
"8291" 0 0 0 0 0 0 0 0 0 1
"9697" 0 0 0 0 0 0 0 1 0 0
"7743" 0 0 0 0 0 0 0 1 0 0
"7968" 0 0 0 0 0 0 0 0 0 0
"8112" 0 0 0 0 0 0 0 0 0 0
"8461" 0 0 0 0 0 0 0 0 0 0
"7809" 0 0 0 0 0 0 0 1 0 0
"8239" 0 0 0 0 0 0 0 0 0 0
"8570" 0 0 0 0 0 0 0 1 0 0
"8711" 0 0 0 0 0 0 0 0 0 0
"8114" 0 0 0 0 0 0 0 0 0 0
"8385" 0 0 0 0 0 0 0 0 0 0
"8106" 0 0 0 0 0 0 0 0 0 1
"7643" 1 0 0 0 0 0 0 1 0 0
"8441" 0 0 0 0 0 0 0 1 1 0
"8399" 0 0 0 0 0 0 0 0 0 0
"7988" 0 0 0 0 0 0 0 0 0 0
"8113" 0 0 0 0 0 0 0 1 0 0
"8587" 0 0 1 0 1 1 1 0 1 0
"8373" 0 0 0 0 0 0 0 1 0 1
"7804" 0 0 0 1 0 0 0 1 0 0
"8439" 0 0 0 0 0 0 0 0 0 0
"8440" 0 0 0 0 0 0 0 1 0 0
"8528" 0 0 0 0 0 0 0 1 0 0
"8402" 0 0 0 0 0 0 0 0 0 0
"8125" 0 0 0 0 0 0 0 1 0 1
"8715" 0 0 0 0 0 0 0 1 0 0
"8516" 0 0 0 0 0 0 0 0 1 0
"8517" 0 0 0 0 0 0 0 0 0 0
"8107" 0 0 0 0 0 0 0 0 0 0
"8438" 0 0 0 0 0 0 0 0 0 0
