"dbMEM.1" "dbMEM.2" "dbMEM.3" "dbMEM.4" "dbMEM.5" "dbMEM.6" "dbMEM.7" "dbMEM.8" "dbMEM.9" "dbMEM.10" "dbMEM.11" "dbMEM.12" "dbMEM.13" "dbMEM.14" "dbMEM.15" "dbMEM.16" "dbMEM.17" "dbMEM.18" "dbMEM.19" "dbMEM.20" "dbMEM.21" "dbMEM.22" "dbMEM.23" "dbMEM.24" "dbMEM.25" "dbMEM.26" "dbMEM.27" "dbMEM.28" "dbMEM.29" "dbMEM.30" "dbMEM.31" "dbMEM.32" "dbMEM.33" "dbMEM.34"
"PL02S0101_3054" -1.02074546277708 -0.0262804017069708 -1.71416000200229 1.23473321418808 -0.288472994583663 0.525409651174821 0.67323907982525 0.354747250611047 1.06745898518043 0.403239415682211 0.180558514631156 0.535997490221589 1.21249269880252 -0.50142290126861 -0.269994666819816 -0.0612374849831471 1.2261459000786 0.142334071274676 -0.411420814887272 -0.145674793992727 0.417962622107916 -0.170645078513451 -0.0547312894682993 0.01364294754416 0.921590757669108 0.486733379956821 -0.515870464872612 0.0703109026229846 0.355820445188259 -0.239566294200976 -0.165553823868606 -0.510977686827544 -0.0144361384861245 0.13111903583652
"PL02S0101_3154" -1.0218063301265 -0.0261705776526616 -1.71590071531572 1.23425379468438 -0.289336998594304 0.52333677661698 0.668118224158216 0.350764665198344 1.05112678671068 0.39945364467876 0.179762174773507 0.52957475693903 1.22683328148264 -0.497389493677426 -0.271610557705215 -0.0617710325157799 1.23694703731722 0.149299343498287 -0.410492362771039 -0.152474549633843 0.418089407378704 -0.173066729154665 -0.0530201440940013 0.00942156160550598 0.939317843946886 0.488308031785758 -0.516784365752271 0.0729543707682173 0.359870128954153 -0.251493177584094 -0.166515063918497 -0.520719369078319 -0.0100876027733178 0.130205537853955
"PL02S0101_3156" -1.15251393716749 0.00334768281083655 -1.7432000219544 0.880153210986724 -0.380209286347175 0.135477220287461 0.0192455835735517 -0.191235958337143 -0.0911762177664673 -1.34691885099886 -0.044295886310296 -0.94856224152289 -0.38787111734841 2.37374118956703 0.354536493546805 -0.247255179840734 -1.98718909366853 1.09293635339952 -0.748248929872509 0.537083238657176 1.28609183606236 -0.604879691431409 0.313037827386624 -0.885823426101859 0.262675869183912 -1.07923140070916 0.162079518092653 0.748270885649885 -0.203935959463871 -1.12394325911988 -0.182445348104594 -0.337248251260765 0.929932733690447 -0.419476991513692
"PL02S0101_3317" -1.16261924974214 0.0398904872489598 -1.72767294128835 0.64946765506425 -0.0400545478845966 0.442044206171586 -0.11712668556694 -0.84167734588112 -2.33827702879359 0.415317400438794 -0.386328266135167 -0.357416412965196 -1.02324302936601 -2.42262798594131 1.15369523460371 0.00825841709144812 -0.197217739933621 0.716156071328002 0.302079416938209 0.138171566194623 -0.0333606711181187 0.142177115709889 -0.291560185481716 0.187564048611475 0.104861003666108 -1.16365711117319 -0.0315075369552849 0.610939010432659 -0.181835826589864 -0.573934492939699 -1.07807862597921 1.06463798840491 -1.07410527512681 0.804053579041939
"PL02S0101_3382" -1.03349871348228 -0.00521871498039542 -1.70175893033716 1.05309472844271 -0.141907666421692 0.570826788660131 0.392906753615119 -0.25207306530545 -0.321808582196596 -0.101663132210045 0.0792003157001396 -0.093479849750072 -0.00605288108124901 1.16311276326366 -0.979619781586832 0.04972364591549 -1.51600614615344 -1.55566077281684 1.62882964246217 -1.16364166556185 -0.835792955053643 -1.13284497846567 1.43990750050062 -0.641975107341407 0.98262037901552 -3.63219924713438 0.403085658327597 -0.609286305459822 -1.38443954935583 0.655404776248533 0.44286105346347 -1.43915771520128 -0.88384914207498 -1.7358356879094
"PL02S0201_0585" -1.0215907798222 -0.0261951266708727 -1.71556749931246 1.23440309915692 -0.289143063969826 0.523851005995406 0.669318556793207 0.35162564391955 1.0547741994882 0.400349722147912 0.179921232964242 0.531042902917068 1.22341449154249 -0.498515046942402 -0.271179505714464 -0.0616485625223166 1.23447272650466 0.147680381068872 -0.410540704968291 -0.150995417251254 0.417850477666441 -0.172509275164104 -0.0533409202919776 0.0104357105160904 0.935355736846047 0.487759498097712 -0.516516642688101 0.0723254902096921 0.358798402636742 -0.248584001871631 -0.166002407469305 -0.51860708095936 -0.0111900456480982 0.130130121371175
"PL02S0201_3338" -0.825551707958011 -0.0444558981249745 -1.42435954227299 1.31970400429526 -0.131413929273482 0.872193390281463 1.37103223770008 0.59245803878712 2.06367410505137 0.532540756543597 -0.0344423153201142 0.300997052923862 -2.63027081263412 -1.17683855900905 0.776686107049617 -0.0228664391656975 -1.35003261601804 -1.20182407671074 0.823508920809408 0.153194868607529 -0.389331011892762 0.247846675589622 -0.260990090619483 -1.03538261946687 -1.38703363731675 0.098749930932747 0.238319456076189 0.795452745806416 0.531000784340691 -0.260113692578057 0.311072711700533 -0.0664388997998923 0.177150843792089 -0.148501159630021
"PL02S0401_0602" 0.264625349218173 1.64577198157643 0.261831614956571 -0.739818795004061 0.981334003853056 1.07528164767215 1.20090793328692 3.5069361033592 -0.367788320433552 0.219926256649017 -3.78512889304609 -1.03022972936864 -0.630256899704046 -0.0520068837178031 0.452021390965867 -0.0508958538219219 1.0790610943374 2.85358824625426 -0.531739643249931 0.914908493000508 -1.98916281561838 -1.21786765532741 2.45004171513814 -1.45131073835189 2.86377792297286 -0.777524961723379 0.0124893034284635 -0.725900326365969 0.543119923681729 0.066917362362038 -2.86060329391024 -1.78389894477592 1.4359554921561 0.819352014521283
"PL02S0401_0616" -0.343863818335145 1.00535912801716 0.34818152692333 -1.69904591089862 1.69777531032428 1.4047322002367 1.00201366042955 2.50233350888804 -0.790265164440804 0.889575715795993 1.5685402983194 -0.907425229220495 0.488965277559163 -0.324302511915159 0.490550803148436 0.812935724148339 -1.68442193546254 -1.12098788553667 -0.72718396307966 -0.761329642235166 2.0684591106413 1.07987762598702 -0.470809642537166 0.222338603033942 -2.02524063436471 -0.0313018369987636 0.70788987600075 -3.99596918644191 2.82769464679941 -3.24838579840431 1.84070827642121 -2.73256239737787 0.222660717028585 0.16901275026044
"PL02S0401_0638" -0.477288817050262 0.692315082269889 0.37066625158166 -1.77631668472881 1.63112944034607 1.19654783922186 0.727901628528676 1.68856708961613 0.109383610605949 2.31743997822621 0.849426730767674 -1.83835082488178 -0.78021585680089 -0.166683740828422 -0.329094096041478 -1.59912760095188 -1.54246315885118 -2.16493657911268 -0.995409501817775 -2.24492708072711 1.33505648171886 -1.92577674836278 0.82692394481617 1.77248786002208 3.23411018187606 1.94288291574878 1.24720706839765 1.52200796007043 -1.41143908337033 0.949671691796125 -0.344129689522275 0.740195784720904 -0.646361422472202 -0.0932560307916198
"PL02S0401_0661" -0.906524052028944 0.247817397017094 0.136272109325821 -2.02494537762098 0.631024421399088 -0.677471291242491 -1.49777493162782 0.655928080401473 0.605933728220746 2.16329783035977 0.208396941326495 1.52814195692343 0.168280900340698 0.0738006668591885 -1.55054911785372 0.147733962104376 0.916585927562196 0.492737593515686 -2.93546252707717 1.78864449901373 2.5868630731376 -0.835085858373457 0.654364838878783 0.431983613317653 -0.890648752783964 -1.60700716234614 0.0811474409923243 -0.879916730502106 -1.81601743323529 0.231683944093578 -0.0924162717027108 -0.452847431140046 0.291134978797665 -1.02599279189775
"PL02S0401_0662" -0.641184147885315 0.449842535266905 0.424902711930073 -2.02279430145172 1.54041972103022 0.902042496689543 0.483375132927018 0.528135172788521 1.35335544233038 1.0103331509518 -0.016373825321924 -0.776497321671886 -0.367539214135281 0.238748377681741 0.0459165263445577 0.294656681407876 1.14993993911041 -2.34936683915964 2.88711507785101 0.574407361378852 1.57940602678889 0.412215366204192 -2.33931374239415 -3.54142389538278 0.488821433415665 -0.413529260482879 1.25674262545579 1.22526381344803 -2.74841954021942 1.08161702385032 -1.49850967129573 -1.37799772879115 3.02064338783712 0.358080587835481
